,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index
2327,18000000.0,50.009408,98235548.0,107.0,7.3,2093.0,27964,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.94890939048596
2328,18000000.0,31.82675,51973029.0,160.0,7.8,1076.0,27006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.5569726046748437
2329,29584033.767974548,9.642041,14796236.0,88.0,4.8,167.0,35573,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.578567305541495
2330,17000000.0,36.423716999999996,129042871.0,97.0,6.9,2320.0,34132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.2687385503714417
2331,29584033.767974548,12.309718,83769672.29056203,113.0,6.4,172.0,33766,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.24233751321719307
2332,19800000.0,11.693272,87754044.0,137.0,6.8,246.0,33227,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.3465990014617994
2333,18000000.0,12.243886999999999,41382841.0,103.0,5.9,136.0,27715,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.3521589333718636
2334,18000000.0,89.811154,103215094.0,119.0,7.4,4535.0,37903,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6.3895385025579685
2335,18000000.0,34.694216,99206215.0,98.0,7.0,1098.0,37505,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.5470150553051045
2336,15000000.0,17.501379999999997,76286096.0,111.0,6.9,367.0,34860,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,6.848806710356169
2337,18000000.0,18.492655,62646763.0,94.0,6.0,303.0,33974,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.4269085261907529
2338,18000000.0,11.238522,83769672.29056203,81.0,4.9,147.0,31234,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0037900225939137143
2339,1000000.0,14.518598,21378361.0,89.0,6.4,311.0,25284,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2358291933449532
2340,18000000.0,19.234672,47088990.0,106.0,6.9,342.0,36666,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4818571483737211
2341,18000000.0,4.504377,24911670.0,121.0,6.7,72.0,21768,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5.738063141604131
