,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign
183,130000000,76.310119,847423452,146.0,7.4,6495,37618,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,135000000,63.473086,368871007,94.0,6.8,1519,38106,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
185,132000000,48.572726,591739379,116.0,6.2,2322,34556,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,130000000,38.068736,273339556,147.0,6.3,1564,33845,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
187,130000000,20.678787,554987477,90.0,6.4,451,36869,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
188,110000000,48.829437,293329073,100.0,6.2,2093,36405,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
189,125000000,46.115758,362637473,139.0,5.6,2350,37743,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,130000000,89.938296,371940071,107.0,6.7,2061,36866,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
191,130000000,79.679601,789804554,141.0,7.7,5877,34163,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192,130000000,28.840996999999998,49554002,165.0,6.3,694,35795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
193,130000000,42.840582,243843127,100.0,5.0,2532,37449,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,127500000,26.548594,354248063,82.0,6.2,542,32690,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
195,127000000,115.597753,349424282,97.0,6.1,1851,38015,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
196,130000000,68.757242,321887208,95.0,6.7,1918,36504,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
197,125000000,109.984351,976475550,152.0,7.5,7006,33236,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
198,130000000,39.448066,61648500,96.0,5.4,1260,37498,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
199,140000000,271.972889,655011224,143.0,7.5,6985,33836,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,125000000,206.227151,752100229,123.0,6.6,5584,37986,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
